County,Constituency,Ward,Latitude,Longitude
Nyandarua,Ol Jorok,Kanjuiri Ridge,-0.299607525,36.27031638725504
Siaya,Ugunja,Sidindi,0.1667860416059187,34.390141826820845
Kiambu,Kiambaa,Nyadhuna,-1.193566398,36.74611857640854
Laikipia,Laikipia East,Marmanet,0.2798527780770685,36.365472637707136
Garissa,Balambala,Jara Jara,0.093214995,38.97431914815037
Bungoma,Webuye West,Matulo,0.6187783794861812,34.73657913300636
Nairobi,Ruaraka,Utalii,-1.255006108,36.86147897524164
Kericho,Kipkelion West,Kunyak,-0.127758714,35.294540398758734
Nandi,Chesumei,Kaptel/Kamoiywo,0.3005276293933104,35.05150785940265
Tharaka,Maara,Mwimbi,-0.222408168,37.75970241751996
Meru,Cental Imenti,Abothuguchi West,-0.032624618,37.51047416260852
Nyamira,Borabu,Esise,-0.809399134,35.03607280803252
Kisii,South Mugirango,Boikang'A,-0.822647227,34.66603722278924
Busia,Butula,Kingandole,0.3558582308392767,34.23684646
Bomet,Bomet East,Chemaner,-0.810699581,35.49198208227698
Kisii,South Mugirango,Tabaka,-0.740408948,34.65677326917082
Tana River,Garsen,Kipini East,-2.488712484,40.51884673592798
Murang'a,Kiharu,Mugoiri,-0.758399746,37.03380536630358
Kajiado,Kajiado Central,Ildamat,-1.854925374,36.72963537382172
Kakamega,Shinyalu,Isukha West,0.231779996,34.73873220533349
West Pokot,Kacheliba,Kodich,1.6184502128962537,35.04648794518282
Siaya,Gem,South Gem,-0.026726028,34.43860743
Nairobi,Kilimani,Gatina,-1.279329382,36.75519570588444
Uasin Gishu,Kesses,Racecourse,0.4772318771447821,35.28303733425393
Nyeri,Mathira,Kirimukuyu,-0.466223236,37.07785570827978
Bungoma,Webuye East,Mihuu,0.6442151680411436,34.79014637
Kisii,Nyaribari Chache,Keumbu,-0.738870113,34.84648219381419
Nyamira,Borabu,Kiabonyoru,-0.594506673,34.98867783506037
Murang'a,Maragwa,Kimorori/Wempa,-0.949329184,37.16425653669547
Kilifi,Kilifi South,Shimo La Tewa,-3.93645101,39.73597156130988
Makueni,Kaiti,Kilungu,-1.786588235,37.37689749
Kisii,Bonchari,Bogiakumu,-0.671631116,34.72996884266396
Nandi,Mosop,Kipkaren,0.5075268980312972,35.02413207010033
Laikipia,Laikipia North,Mukogondo East,0.3282929729944562,37.24908022666119
Homa Bay,Suba South,Gwassi North,-0.649468723,34.10121133705026
Kakamega,Shinyalu,Isukha North,0.3590461571683646,34.88379105
Busia,Teso South,Amukura Central,0.5300796150794108,34.249774190284526
Narok,Kilgoris,Keyian,-1.035429186,34.68339453054817
Busia,Teso North,Malaba South,0.6105985198548092,34.31506234261672
Nairobi,Kibra,Sarangombe,-1.312375355,36.77545984845901
Nandi,Chesumei,Kosirai,0.2747631850554483,35.139727001091885
Nairobi,Kibra,Makina,-1.309344999,36.78362006398345
Kisii,Kitutu Chache North,Kegogi,-0.534077707,34.84123443983197
Meru,South Imenti,Abogeta East,-0.126202133,37.70603541646935
Embu,Gachoka,Mbeti South,-0.658277739,37.54406957981762
Meru,Tigania East,Mikinduri,0.086050687,37.85659079668108
Kitui,Kitui South,Mutomo,-1.823034487,38.17924460066893
Bomet,Buret,Tebesonik,-0.549986472,35.08174643783224
Kiambu,Kikuyu,Sigona,-1.190147646,36.63817037532032
Busia,Teso South,Chakol South,0.5149051138228172,34.16510294584548
Vihiga,Sabatia,Lyaduywa/Izava,0.09529299,34.72068979613005
Kilifi,Malindi,Malindi Town,-3.215187827,40.08766912330545
Embu,Manyatta,Kithimu,-0.512255787,37.534026933855166
Nakuru,Kuresoi North,Kiptororo,-0.349108211,35.50560944838238
Kwale,Matuga,Waa,-4.161865256,39.58926215
Busia,Matayos,Busibwabo,0.4208154084164008,34.207883652862954
Nyandarua,Kipipiri,Geta,-0.408124806,36.579857777751805
Murang'a,Gatanga,Mugumo-Ini,-0.983248502,37.03048163111561
Kajiado,Kajiado Central,Dalalekutuk,-1.95097724,36.92304321495244
Marsabit,Moyale,Sololo,3.553016836758799,38.68173557502172
Kitui,Kitui South,Kanziko,-1.993937899,38.348321137870805
Embu,Gachoka,Kiambere,-0.719392463,37.82287904496193
Nakuru,Kuresoi South,Keringet,-0.467822099,35.69024976
Uasin Gishu,Turbo,Kapsaos,0.5635478030603528,35.22945416470704
Kisii,Bobasi,Bobasi Bogetaorio,-0.896528913,34.830569485036975
